Time,Time(approx),Data Count,Event Type,Duration (s),Waking Day,Cumulative Step Count,Activity Score (MET.h),AbsSumDiffX,AbsSumDiffY,AbsSumDiffZ,Time Upright (s),Time Upside Down (s),Time Back Lying (s),Time Front Lying (s),Time Left Lying (s),Time Right Lying (s)
44091.45418,2020/9/17 10:54,32554,2,1.7,1,71,0.001383333,355,421,443,1.7,0,0,0,0,0
44091.4542,2020/9/17 10:54,32571,2,3.7,1,72,0.002161111,422,726,529,3.7,0,0,0,0,0
44091.45425,2020/9/17 10:54,32608,1,18.9,1,72,0.00735,1337,2152,1816,18.9,0,0,0,0,0
44091.45446,2020/9/17 10:54,32797,0,222.1,1,72,0.077118056,1381,1956,1471,2.9,0,219.2,0,0,0
44091.45703,2020/9/17 10:58,35018,1,17.8,1,72,0.006922222,358,486,349,17.8,0,0,0,0,0
44091.45724,2020/9/17 10:58,35196,0,502.8,1,72,0.174583333,574,772,706,0,0,502.8,0,0,0
44091.46306,2020/9/17 11:06,40224,1,28.3,1,72,0.011005556,347,472,485,28.3,0,0,0,0,0
44091.46339,2020/9/17 11:07,40507,0,138.2,1,72,0.047986111,517,735,553,2.4,0,135.8,0,0,0
44091.46499,2020/9/17 11:09,41889,1,5.7,1,72,0.002216667,237,303,270,5.7,0,0,0,0,0
44091.46505,2020/9/17 11:09,41946,2,1.9,1,73,0.001461111,304,467,472,1.9,0,0,0,0,0
44091.46508,2020/9/17 11:09,41965,2,1.9,1,74,0.001461111,623,751,450,1.9,0,0,0,0,0
44091.4651,2020/9/17 11:09,41984,2,0.8,1,75,0.001033333,174,229,175,0.8,0,0,0,0,0
44091.46511,2020/9/17 11:09,41992,2,1.2,1,76,0.001188889,437,495,569,1.2,0,0,0,0,0
44091.46512,2020/9/17 11:09,42004,2,1.2,1,77,0.001188889,415,556,351,1.2,0,0,0,0,0
44091.46513,2020/9/17 11:09,42016,1,235.6,1,77,0.091622222,2727,4648,3986,235.6,0,0,0,0,0
44091.46786,2020/9/17 11:13,44372,2,3.5,1,78,0.002083333,281,327,263,3.5,0,0,0,0,0
44091.4679,2020/9/17 11:13,44407,1,17.7,1,78,0.006883333,700,1188,876,17.7,0,0,0,0,0
44091.46811,2020/9/17 11:14,44584,2,1.7,1,79,0.001383333,457,599,767,1.7,0,0,0,0,0
44091.46813,2020/9/17 11:14,44601,2,1.2,1,80,0.001188889,516,426,500,1.2,0,0,0,0,0
44091.46814,2020/9/17 11:14,44613,2,1.3,1,81,0.001227778,423,532,519,1.3,0,0,0,0,0
44091.46816,2020/9/17 11:14,44626,2,3.2,1,82,0.001966667,487,499,568,3.2,0,0,0,0,0
44091.46819,2020/9/17 11:14,44658,2,3,1,83,0.001888889,493,606,805,3,0,0,0,0,0
44091.46823,2020/9/17 11:14,44688,1,7.2,1,83,0.0028,763,1119,1040,7.2,0,0,0,0,0
44091.46831,2020/9/17 11:14,44760,2,0.9,1,84,0.001072222,369,342,415,0.9,0,0,0,0,0
44091.46832,2020/9/17 11:14,44769,2,2,1,85,0.0015,298,559,703,2,0,0,0,0,0
44091.46834,2020/9/17 11:14,44789,2,3.5,1,86,0.002083333,483,475,344,3.5,0,0,0,0,0
44091.46838,2020/9/17 11:14,44824,2,0.9,1,87,0.001072222,148,249,205,0.9,0,0,0,0,0
44091.46839,2020/9/17 11:14,44833,2,1.3,1,88,0.001227778,437,454,366,1.3,0,0,0,0,0
44091.46841,2020/9/17 11:14,44846,2,1.1,1,89,0.00115,294,407,445,1.1,0,0,0,0,0
44091.46842,2020/9/17 11:14,44857,2,3.4,1,90,0.002044444,240,308,313,3.4,0,0,0,0,0
44091.46846,2020/9/17 11:14,44891,2,1.5,1,91,0.001305556,115,130,100,1.5,0,0,0,0,0
44091.46848,2020/9/17 11:14,44906,2,5,1,92,0.002666667,402,600,493,5,0,0,0,0,0
44091.46854,2020/9/17 11:14,44956,2,1.5,1,93,0.001305556,398,476,247,1.5,0,0,0,0,0
44091.46855,2020/9/17 11:14,44971,2,1.2,1,94,0.001188889,407,496,496,1.2,0,0,0,0,0
44091.46857,2020/9/17 11:14,44983,2,1,1,95,0.001111111,411,554,609,1,0,0,0,0,0
44091.46858,2020/9/17 11:14,44993,2,1.3,1,96,0.001227778,313,360,527,1.3,0,0,0,0,0
44091.46859,2020/9/17 11:14,45006,1,346.1,1,96,0.134594444,3198,5659,4321,346.1,0,0,0,0,0
44091.4726,2020/9/17 11:20,48467,2,3.4,1,97,0.002044444,212,186,246,3.4,0,0,0,0,0
44091.47264,2020/9/17 11:20,48501,1,12.6,1,97,0.0049,388,735,578,12.6,0,0,0,0,0
44091.47279,2020/9/17 11:20,48627,2,1.3,1,98,0.001227778,357,289,368,1.3,0,0,0,0,0
44091.4728,2020/9/17 11:20,48640,2,1.2,1,99,0.001188889,251,343,435,1.2,0,0,0,0,0
44091.47281,2020/9/17 11:20,48652,2,1.2,1,100,0.001188889,308,491,566,1.2,0,0,0,0,0
44091.47283,2020/9/17 11:20,48664,2,1.5,1,101,0.001305556,404,395,431,1.5,0,0,0,0,0
44091.47285,2020/9/17 11:20,48679,2,3.3,1,102,0.002005556,612,594,837,3.3,0,0,0,0,0
44091.47288,2020/9/17 11:20,48712,1,3.1,1,102,0.001205556,233,430,247,3.1,0,0,0,0,0
44091.47292,2020/9/17 11:21,48743,5,360.8,1,102,0.125277778,6602,10289,6894,29.3,0,331.5,0,0,0
44091.4771,2020/9/17 11:27,52351,1,2.8,1,102,0.001088889,336,400,356,2.8,0,0,0,0,0
44091.47713,2020/9/17 11:27,52379,2,2.5,1,103,0.001694444,502,722,584,2.5,0,0,0,0,0
44091.47716,2020/9/17 11:27,52404,2,1.7,1,104,0.001383333,311,418,323,1.7,0,0,0,0,0
44091.47718,2020/9/17 11:27,52421,2,5.4,1,105,0.002822222,415,647,690,5.4,0,0,0,0,0
44091.47724,2020/9/17 11:27,52475,2,1.2,1,106,0.001188889,159,159,149,1.2,0,0,0,0,0
44091.47725,2020/9/17 11:27,52487,2,1.1,1,107,0.00115,160,201,194,1.1,0,0,0,0,0
44091.47727,2020/9/17 11:27,52498,2,1,1,108,0.001111111,94,111,168,1,0,0,0,0,0
44091.47728,2020/9/17 11:27,52508,2,2.4,1,109,0.001655556,217,344,327,2.4,0,0,0,0,0
44091.47731,2020/9/17 11:27,52532,1,8,1,109,0.003111111,367,653,546,8,0,0,0,0,0
44091.4774,2020/9/17 11:27,52612,2,3.4,1,110,0.002044444,429,518,533,3.4,0,0,0,0,0
44091.47744,2020/9/17 11:27,52646,2,1.2,1,111,0.001188889,500,609,639,1.2,0,0,0,0,0
44091.47745,2020/9/17 11:27,52658,2,1.2,1,112,0.001188889,234,476,390,1.2,0,0,0,0,0
44091.47747,2020/9/17 11:27,52670,1,10.9,1,112,0.004238889,258,258,366,10.9,0,0,0,0,0
44091.47759,2020/9/17 11:27,52779,2,1.4,1,113,0.001266667,221,320,286,1.4,0,0,0,0,0
44091.47761,2020/9/17 11:27,52793,2,1.3,1,114,0.001227778,405,366,186,1.3,0,0,0,0,0
44091.47762,2020/9/17 11:27,52806,2,2.6,1,115,0.001733333,566,991,688,2.6,0,0,0,0,0
44091.47765,2020/9/17 11:27,52832,2,2,1,116,0.0015,414,421,427,2,0,0,0,0,0
44091.47768,2020/9/17 11:27,52852,2,1.4,1,117,0.001266667,352,299,242,1.4,0,0,0,0,0
44091.47769,2020/9/17 11:27,52866,1,12.6,1,117,0.0049,947,1429,1099,12.6,0,0,0,0,0
44091.47784,2020/9/17 11:28,52992,2,1.2,1,118,0.001188889,479,524,499,1.2,0,0,0,0,0
44091.47785,2020/9/17 11:28,53004,2,0.9,1,119,0.001072222,531,637,559,0.9,0,0,0,0,0
44091.47786,2020/9/17 11:28,53013,2,1.2,1,120,0.001188889,267,542,257,1.2,0,0,0,0,0
44091.47788,2020/9/17 11:28,53025,2,3.7,1,121,0.002161111,390,439,502,3.7,0,0,0,0,0
44091.47792,2020/9/17 11:28,53062,1,7.1,1,121,0.002761111,610,978,695,7.1,0,0,0,0,0
44091.478,2020/9/17 11:28,53133,2,2,1,122,0.0015,435,526,625,2,0,0,0,0,0
44091.47802,2020/9/17 11:28,53153,1,49.7,1,122,0.019327778,587,1058,987,49.7,0,0,0,0,0
44091.4786,2020/9/17 11:29,53650,2,1.4,1,123,0.001266667,246,442,298,1.4,0,0,0,0,0
44091.47862,2020/9/17 11:29,53664,1,57.7,1,123,0.022438889,962,1302,1337,57.7,0,0,0,0,0
44091.47928,2020/9/17 11:30,54241,2,1.4,1,124,0.001266667,500,655,628,1.4,0,0,0,0,0
44091.4793,2020/9/17 11:30,54255,2,1.1,1,125,0.00115,373,475,692,1.1,0,0,0,0,0
44091.47931,2020/9/17 11:30,54266,2,2.2,1,126,0.001577778,322,466,493,2.2,0,0,0,0,0
44091.47934,2020/9/17 11:30,54288,1,0.7,1,126,0.000272222,197,91,104,0.7,0,0,0,0,0
44091.47935,2020/9/17 11:30,54295,5,641.9,1,126,0.222881944,5467,9121,6737,5.3,0,636.5,0,0,0
44091.48678,2020/9/17 11:40,60714,1,13.8,1,126,0.005366667,818,1215,1106,13.8,0,0,0,0,0
44091.48694,2020/9/17 11:41,60852,2,1.2,1,127,0.001188889,348,552,324,1.2,0,0,0,0,0
44091.48695,2020/9/17 11:41,60864,2,1.2,1,128,0.001188889,462,589,368,1.2,0,0,0,0,0
44091.48696,2020/9/17 11:41,60876,2,4.9,1,129,0.002627778,637,630,629,4.9,0,0,0,0,0
44091.48702,2020/9/17 11:41,60925,1,11.6,1,129,0.004511111,771,1059,993,11.6,0,0,0,0,0
44091.48715,2020/9/17 11:41,61041,2,3.2,1,130,0.001966667,230,507,392,3.2,0,0,0,0,0
44091.48719,2020/9/17 11:41,61073,2,1.3,1,131,0.001227778,144,192,196,1.3,0,0,0,0,0
44091.48721,2020/9/17 11:41,61086,2,0.8,1,132,0.001033333,211,301,115,0.8,0,0,0,0,0
44091.48722,2020/9/17 11:41,61094,2,0.9,1,133,0.001072222,126,216,45,0.9,0,0,0,0,0
44091.48723,2020/9/17 11:41,61103,2,1.1,1,134,0.00115,383,465,450,1.1,0,0,0,0,0
44091.48724,2020/9/17 11:41,61114,2,2,1,135,0.0015,431,661,448,2,0,0,0,0,0
44091.48726,2020/9/17 11:41,61134,2,2.9,1,136,0.00185,1020,1265,1210,2.9,0,0,0,0,0
44091.4873,2020/9/17 11:41,61163,2,1.2,1,137,0.001188889,288,582,485,1.2,0,0,0,0,0
44091.48731,2020/9/17 11:41,61175,2,1,1,138,0.001111111,467,419,573,1,0,0,0,0,0
44091.48732,2020/9/17 11:41,61185,2,1.7,1,139,0.001383333,235,334,383,1.7,0,0,0,0,0
44091.48734,2020/9/17 11:41,61202,2,0.7,1,140,0.000994444,141,93,168,0.7,0,0,0,0,0
44091.48735,2020/9/17 11:41,61209,2,2.2,1,141,0.001577778,697,804,752,2.2,0,0,0,0,0
44091.48737,2020/9/17 11:41,61231,2,1,1,142,0.001111111,690,685,525,1,0,0,0,0,0
44091.48739,2020/9/17 11:41,61241,2,1,1,143,0.001111111,514,543,599,1,0,0,0,0,0
44091.4874,2020/9/17 11:41,61251,2,0.9,1,144,0.001072222,764,354,598,0.9,0,0,0,0,0
44091.48741,2020/9/17 11:41,61260,2,1,1,145,0.001111111,687,823,671,1,0,0,0,0,0
44091.48742,2020/9/17 11:41,61270,2,1,1,146,0.001111111,817,634,624,1,0,0,0,0,0
44091.48743,2020/9/17 11:41,61280,2,0.9,1,147,0.001072222,838,796,587,0.9,0,0,0,0,0
44091.48744,2020/9/17 11:41,61289,2,1,1,148,0.001111111,523,564,745,1,0,0,0,0,0
44091.48745,2020/9/17 11:41,61299,2,1,1,149,0.001111111,636,456,532,1,0,0,0,0,0
44091.48746,2020/9/17 11:41,61309,2,1,1,150,0.001111111,568,525,671,1,0,0,0,0,0
44091.48748,2020/9/17 11:41,61319,2,1,1,151,0.001111111,615,376,527,1,0,0,0,0,0
44091.48749,2020/9/17 11:41,61329,2,1.1,1,152,0.00115,592,783,716,1.1,0,0,0,0,0
44091.4875,2020/9/17 11:42,61340,2,0.7,1,153,0.000994444,639,651,889,0.7,0,0,0,0,0
44091.48751,2020/9/17 11:42,61347,2,1.4,1,154,0.001266667,1298,1117,1290,1.4,0,0,0,0,0
44091.48752,2020/9/17 11:42,61361,2,1.8,1,155,0.001422222,1521,903,1337,1.8,0,0,0,0,0
44091.48755,2020/9/17 11:42,61379,2,1.4,1,156,0.001266667,1016,788,652,1.4,0,0,0,0,0
44091.48756,2020/9/17 11:42,61393,2,0.7,1,157,0.000994444,461,741,1103,0.7,0,0,0,0,0
44091.48757,2020/9/17 11:42,61400,2,1.2,1,158,0.001188889,929,1174,1228,1.2,0,0,0,0,0
44091.48758,2020/9/17 11:42,61412,2,1.7,1,159,0.001383333,1088,893,1169,1.7,0,0,0,0,0
44091.4876,2020/9/17 11:42,61429,2,1,1,160,0.001111111,518,496,710,1,0,0,0,0,0
44091.48761,2020/9/17 11:42,61439,2,1.1,1,161,0.00115,993,603,770,1.1,0,0,0,0,0
44091.48763,2020/9/17 11:42,61450,2,1,1,162,0.001111111,878,580,809,1,0,0,0,0,0
44091.48764,2020/9/17 11:42,61460,2,1,1,163,0.001111111,764,466,691,1,0,0,0,0,0
44091.48765,2020/9/17 11:42,61470,2,1.1,1,164,0.00115,642,678,784,1.1,0,0,0,0,0
44091.48766,2020/9/17 11:42,61481,2,1,1,165,0.001111111,589,393,543,1,0,0,0,0,0
44091.48767,2020/9/17 11:42,61491,2,1,1,166,0.001111111,525,549,642,1,0,0,0,0,0
44091.48769,2020/9/17 11:42,61501,2,1.1,1,167,0.00115,551,425,655,1.1,0,0,0,0,0
44091.4877,2020/9/17 11:42,61512,2,1,1,168,0.001111111,481,327,497,1,0,0,0,0,0
44091.48771,2020/9/17 11:42,61522,2,1.1,1,169,0.00115,731,490,534,1.1,0,0,0,0,0
44091.48772,2020/9/17 11:42,61533,2,1,1,170,0.001111111,601,347,482,1,0,0,0,0,0
44091.48773,2020/9/17 11:42,61543,2,1.1,1,171,0.00115,601,449,490,1.1,0,0,0,0,0
44091.48775,2020/9/17 11:42,61554,2,1.1,1,172,0.00115,494,420,637,1.1,0,0,0,0,0
44091.48776,2020/9/17 11:42,61565,1,11.2,1,172,0.004355556,526,729,808,11.2,0,0,0,0,0
44091.48789,2020/9/17 11:42,61677,2,2.5,1,173,0.001694444,201,320,346,2.5,0,0,0,0,0
44091.48792,2020/9/17 11:42,61702,2,1.1,1,174,0.00115,311,429,425,1.1,0,0,0,0,0
44091.48793,2020/9/17 11:42,61713,2,1,1,175,0.001111111,513,425,584,1,0,0,0,0,0
44091.48794,2020/9/17 11:42,61723,2,1.1,1,176,0.00115,464,531,347,1.1,0,0,0,0,0
44091.48796,2020/9/17 11:42,61734,2,1.1,1,177,0.00115,614,613,569,1.1,0,0,0,0,0
44091.48797,2020/9/17 11:42,61745,1,7.3,1,177,0.002838889,506,701,515,7.3,0,0,0,0,0
44091.48805,2020/9/17 11:42,61818,2,1.1,1,178,0.00115,731,591,579,1.1,0,0,0,0,0
44091.48807,2020/9/17 11:42,61829,2,1.1,1,179,0.00115,648,513,630,1.1,0,0,0,0,0
44091.48808,2020/9/17 11:42,61840,2,1,1,180,0.001111111,549,285,564,1,0,0,0,0,0
44091.48809,2020/9/17 11:42,61850,2,1,1,181,0.001111111,638,442,597,1,0,0,0,0,0
44091.4881,2020/9/17 11:42,61860,2,1,1,182,0.001111111,615,472,702,1,0,0,0,0,0
44091.48811,2020/9/17 11:42,61870,2,1,1,183,0.001111111,805,592,738,1,0,0,0,0,0
44091.48813,2020/9/17 11:42,61880,2,1.1,1,184,0.00115,653,516,700,1.1,0,0,0,0,0
44091.48814,2020/9/17 11:42,61891,2,1,1,185,0.001111111,647,409,497,1,0,0,0,0,0
44091.48815,2020/9/17 11:42,61901,2,1,1,186,0.001111111,896,394,582,1,0,0,0,0,0
44091.48816,2020/9/17 11:42,61911,2,1,1,187,0.001111111,390,571,627,1,0,0,0,0,0
44091.48817,2020/9/17 11:42,61921,2,1,1,188,0.001111111,562,382,720,1,0,0,0,0,0
44091.48818,2020/9/17 11:42,61931,2,1.1,1,189,0.00115,681,548,676,1.1,0,0,0,0,0
44091.4882,2020/9/17 11:43,61942,2,1.1,1,190,0.00115,678,608,695,1.1,0,0,0,0,0
44091.48821,2020/9/17 11:43,61953,2,0.9,1,191,0.001072222,543,723,607,0.9,0,0,0,0,0
44091.48822,2020/9/17 11:43,61962,2,0.8,1,192,0.001033333,762,753,716,0.8,0,0,0,0,0
44091.48823,2020/9/17 11:43,61970,2,1.2,1,193,0.001188889,654,1139,1060,1.2,0,0,0,0,0
44091.48824,2020/9/17 11:43,61982,2,0.9,1,194,0.001072222,762,704,605,0.9,0,0,0,0,0
44091.48825,2020/9/17 11:43,61991,2,0.7,1,195,0.000994444,731,745,656,0.7,0,0,0,0,0
44091.48826,2020/9/17 11:43,61998,2,0.8,1,196,0.001033333,656,614,715,0.8,0,0,0,0,0
44091.48827,2020/9/17 11:43,62006,2,1.1,1,197,0.00115,525,840,679,1.1,0,0,0,0,0
44091.48828,2020/9/17 11:43,62017,2,1,1,198,0.001111111,458,415,706,1,0,0,0,0,0
44091.4883,2020/9/17 11:43,62027,2,1,1,199,0.001111111,489,480,576,1,0,0,0,0,0
44091.48831,2020/9/17 11:43,62037,2,1.1,1,200,0.00115,517,616,756,1.1,0,0,0,0,0
44091.48832,2020/9/17 11:43,62048,2,1,1,201,0.001111111,486,632,708,1,0,0,0,0,0
44091.48833,2020/9/17 11:43,62058,2,0.9,1,202,0.001072222,587,542,515,0.9,0,0,0,0,0
44091.48834,2020/9/17 11:43,62067,2,1,1,203,0.001111111,655,383,722,1,0,0,0,0,0
44091.48835,2020/9/17 11:43,62077,2,1.1,1,204,0.00115,439,486,705,1.1,0,0,0,0,0
44091.48837,2020/9/17 11:43,62088,2,1,1,205,0.001111111,666,590,745,1,0,0,0,0,0
44091.48838,2020/9/17 11:43,62098,2,1.5,1,206,0.001305556,334,639,582,1.5,0,0,0,0,0
44091.48839,2020/9/17 11:43,62113,2,1.7,1,207,0.001383333,334,360,332,1.7,0,0,0,0,0
44091.48841,2020/9/17 11:43,62130,2,4.8,1,208,0.002588889,681,660,671,4.8,0,0,0,0,0
44091.48847,2020/9/17 11:43,62178,2,2.6,1,209,0.001733333,353,381,529,2.6,0,0,0,0,0
44091.4885,2020/9/17 11:43,62204,2,1.5,1,210,0.001305556,309,540,260,1.5,0,0,0,0,0
44091.48852,2020/9/17 11:43,62219,2,1.4,1,211,0.001266667,352,360,590,1.4,0,0,0,0,0
44091.48853,2020/9/17 11:43,62233,2,3.8,1,212,0.0022,370,916,709,3.8,0,0,0,0,0
44091.48858,2020/9/17 11:43,62271,2,2,1,213,0.0015,145,226,144,2,0,0,0,0,0
44091.4886,2020/9/17 11:43,62291,1,5.8,1,213,0.002255556,605,459,377,5.8,0,0,0,0,0
44091.48867,2020/9/17 11:43,62349,0,101.3,1,213,0.035173611,1145,1905,1281,1.6,0,99.6,0,0,0
44091.48984,2020/9/17 11:45,63362,1,1.7,1,213,0.000661111,318,541,359,1.7,0,0,0,0,0
44091.48986,2020/9/17 11:45,63379,2,1.4,1,214,0.001266667,614,526,525,1.4,0,0,0,0,0
44091.48988,2020/9/17 11:45,63393,2,1.2,1,215,0.001188889,355,358,449,1.2,0,0,0,0,0
44091.48989,2020/9/17 11:45,63405,2,1,1,216,0.001111111,440,374,552,1,0,0,0,0,0
44091.4899,2020/9/17 11:45,63415,2,1.1,1,217,0.00115,393,291,592,1.1,0,0,0,0,0
44091.48991,2020/9/17 11:45,63426,2,2.5,1,218,0.001694444,362,363,549,2.5,0,0,0,0,0
44091.48994,2020/9/17 11:45,63451,2,1.3,1,219,0.001227778,539,281,434,1.3,0,0,0,0,0
44091.48996,2020/9/17 11:45,63464,2,0.9,1,220,0.001072222,414,402,768,0.9,0,0,0,0,0
44091.48997,2020/9/17 11:45,63473,2,1.1,1,221,0.00115,310,497,567,1.1,0,0,0,0,0
44091.48998,2020/9/17 11:45,63484,2,1.2,1,222,0.001188889,316,443,458,1.2,0,0,0,0,0
44091.49,2020/9/17 11:45,63496,2,1.8,1,223,0.001422222,510,360,566,1.8,0,0,0,0,0
44091.49002,2020/9/17 11:45,63514,2,2.4,1,224,0.001655556,320,431,303,2.4,0,0,0,0,0
44091.49004,2020/9/17 11:45,63538,1,0.3,1,224,0.000116667,25,33,18,0.3,0,0,0,0,0
44091.49005,2020/9/17 11:45,63541,5,303.8,1,224,0.105486111,7038,10630,7296,0,0,303.8,0,0,0
44091.49356,2020/9/17 11:50,66579,1,21,1,224,0.008166667,763,995,1046,21,0,0,0,0,0
44091.49381,2020/9/17 11:51,66789,0,2141.5,1,224,0.743576389,24554,35908,27821,10.6,0,1858.4,0,0,272.4
